UserId,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore,score,tier
259266.0,3610,4,0.0,4,4,4,444,12,Bronze
259287.0,0,364,35759.399999999994,1,1,1,111,3,Gold
259308.0,3360,62,14963.04,3,3,1,331,7,Silver
259329.0,3303,146,14571.84,2,2,1,221,5,Silver
259350.0,3595,34,2774.3999999999996,4,4,3,443,11,Bronze
259392.0,3321,190,12812.64,2,2,2,222,6,Silver
259413.0,3489,8,738.0,4,4,4,444,12,Bronze
259434.0,3517,116,8959.080000000002,4,2,2,422,8,Silver
259455.0,3499,26,3811.5599999999995,4,4,3,443,11,Bronze
259476.0,3307,118,23318.940000000002,2,2,1,221,5,Silver
259497.0,3318,262,51475.920000000006,2,1,1,211,4,Gold
259518.0,3286,38,9680.880000000001,1,3,2,132,6,Silver
259539.0,3292,508,51766.98,1,1,1,111,3,Gold
259560.0,3337,258,22080.96,3,1,1,311,5,Silver
259581.0,3572,20,1575.72,4,4,4,444,12,Bronze
259602.0,3288,548,42748.2,1,1,1,111,3,Gold
259623.0,3394,46,4579.200000000002,3,3,3,333,9,Bronze
259644.0,3292,170,10901.400000000001,1,2,2,122,5,Silver
259665.0,3576,46,2661.6600000000008,4,3,3,433,10,Bronze
259707.0,3289,22,1401.6000000000001,1,4,4,144,9,Bronze
259770.0,3336,334,29414.16,3,1,1,311,5,Silver
259791.0,3329,126,15653.16,2,2,1,221,5,Silver
259812.0,3356,104,10766.880000000001,3,2,2,322,7,Silver
259833.0,3596,28,3026.8799999999997,4,4,3,443,11,Bronze
259854.0,3310,66,6161.94,2,3,2,232,7,Silver
259875.0,3287,36,3780.0000000000005,1,3,3,133,7,Silver
259917.0,3600,154,13501.32,4,2,1,421,7,Silver
259938.0,3414,438,33265.44,3,1,1,311,5,Silver
259959.0,3366,82,7052.639999999999,3,3,2,332,8,Silver
259980.0,3306,210,22562.82,2,1,1,211,4,Gold
260001.0,3289,182,14958.599999999999,1,2,1,121,4,Gold
260043.0,3469,200,15259.98,4,2,1,421,7,Silver
260064.0,3313,60,4692.12,2,3,3,233,8,Silver
260106.0,3622,20,3338.16,4,4,3,443,11,Bronze
260148.0,3300,200,23074.379999999997,1,2,1,121,4,Gold
260190.0,3364,64,4559.16,3,3,3,333,9,Bronze
260211.0,3306,200,3823.8599999999997,2,2,3,223,7,Silver
260253.0,3357,128,13125.960000000001,3,2,2,322,7,Silver
260274.0,3348,54,10563.6,3,3,2,332,8,Silver
260295.0,3300,318,24876.479999999996,1,1,1,111,3,Gold
260337.0,3320,252,19986.24,2,1,1,211,4,Gold
260358.0,3330,170,13572.96,2,2,1,221,5,Silver
260379.0,3404,118,9200.04,3,2,2,322,7,Silver
260421.0,3588,10,698.4,4,4,4,444,12,Bronze
260442.0,3608,22,1872.72,4,4,4,444,12,Bronze
260463.0,3334,12,3394.0800000000004,2,4,3,243,9,Bronze
260505.0,3433,108,14188.259999999998,4,2,1,421,7,Silver
260526.0,3307,216,27219.839999999997,2,1,1,211,4,Gold
260547.0,3334,154,14183.279999999999,2,2,1,221,5,Silver
260568.0,3317,226,23580.24,2,1,1,211,4,Gold
260589.0,3363,228,91715.81999999999,3,1,1,311,5,Silver
260610.0,3586,56,5645.099999999999,4,3,2,432,9,Bronze
260652.0,3359,122,10183.679999999998,3,2,2,322,7,Silver
260673.0,3351,80,5759.28,3,3,2,332,8,Silver
260694.0,3502,36,4663.26,4,3,3,433,10,Bronze
260715.0,3309,1556,1026822.8999999999,2,1,1,211,4,Gold
260757.0,3288,396,29668.62,1,1,1,111,3,Gold
260778.0,3397,68,5544.84,3,3,2,332,8,Silver
260820.0,3348,58,4981.080000000001,3,3,3,333,9,Bronze
260841.0,3300,92,6687.24,1,2,2,122,5,Silver
260862.0,3380,78,6667.559999999999,3,3,2,332,8,Silver
260883.0,3285,252,15350.220000000001,1,1,1,111,3,Gold
260904.0,3447,60,14608.800000000001,4,3,1,431,8,Silver
260925.0,3363,72,6450.0,3,3,2,332,8,Silver
260946.0,3479,60,4833.359999999999,4,3,3,433,10,Bronze
260967.0,3296,70,5872.2,1,3,2,132,6,Silver
260988.0,3310,600,65318.04,2,1,1,211,4,Gold
261009.0,3294,194,31096.44,1,2,1,121,4,Gold
261030.0,3328,22,2126.4,2,4,4,244,10,Bronze
261051.0,3320,480,53241.240000000005,2,1,1,211,4,Gold
261072.0,3327,216,41951.280000000006,2,1,1,211,4,Gold
261093.0,3285,840,111076.08,1,1,1,111,3,Gold
261114.0,3369,108,6346.920000000001,3,2,2,322,7,Silver
261135.0,3364,72,64900.08,3,3,1,331,7,Silver
261156.0,3384,32,4218.84,3,4,3,343,10,Bronze
261177.0,3286,402,40625.64,1,1,1,111,3,Gold
261198.0,3299,196,24102.600000000002,1,2,1,121,4,Gold
